 He  "Helium Atom He" % [#2] % 1       
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 11
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 5
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 8
 H   "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 2
 H   "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 12
 H   "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 6
 H   "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 9
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 1	
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 14
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 5
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 8
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 11
 H "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 2
 H "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 15
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 6
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 9
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 12
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 1
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 17
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 5
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 8
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 11
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 14
 H "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 2
 H "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 18
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 6
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 9
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 12
 H "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 15
 O   "Water O" % [#8](-[H])(-[H]) % 1      
 H   "Water H"  % [#8](-[H])(-[H]) % 2          
 O   "Methanol O" % [#8](-[#6](-[H])(-[H])-[H])-[H] % 1   
 H   "Methanol HO" % [#8](-[#6](-[H])(-[H])-[H])-[H] % 6  
 C   "Methanol CH3" % [#8](-[#6](-[H])(-[H])-[H])-[H] % 2  
 H   "Methanol H3C" % [#8](-[#6](-[H])(-[H])-[H])-[H] % 3  
 O   "Ethanol O" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H] % 1      
 H   "Ethanol HO" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H] % 9            
 C   "Ethanol CH2" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H] % 2            
 H   "Ethanol H2C" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H] % 7           
 C   "Ethanol CH3" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H] % 3           
 H   "Ethanol H3C" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H] % 6     
 O   "Ethanol O" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 1      
 H   "Ethanol HO" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 12           
 C   "Ethanol CH2" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 2
 H   "Ethanol H2C" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 11
 C   "Propanol Me-CH2" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 3      
 H   "Propanol Me-CH2" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 8 
 C   "Propanol CH3" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 4          
 H   "Propanol H3C" % [#8](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 6          
 O   "isoPropanol O" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H])-[H] % 1          
 H   "isoPropanol HO" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H])-[H] % 12        
 C   "isoPropanol >CH-" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H])-[H] % 2
 H   "isoPropanol >CH-" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H])-[H] % 11          
 C   "isoPropanol CH3" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H])-[H] % 3        
 H   "isoPropanol H3C" % [#8](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H])-[H] % 6       
 O   "Methyl Ether O" % [#8](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1        
 C   "Methyl Ether CH3" % [#8](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 6      
 H   "Methyl Ether H3C" % [#8](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 9      
 N   "Ammonia N" % [#7](-[H])(-[H])-[H] % 1             
 H   "Ammonia H3N" % [#7](-[H])(-[H])-[H] % 2                     
 N   "Ammonium Ion N+" % [#7+](-[H])(-[H])(-[H])-[H] % 1        
 H   "Ammonium Ion H4N+" % [#7+](-[H])(-[H])(-[H])-[H] % 2         
 N   "Methyl Amine N" % [#7](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 1         
 H   "Methyl Amine H2N" % [#7](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 6       
 C   "Methyl Amine CH3" % [#7](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 2      
 H   "Methyl Amine H3C" % [#7](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 3       
 N   "Ethyl Amine N" % [#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 1          
 H   "Ethyl Amine H2N" % [#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 10        
 C   "Ethyl Amine CH2" % [#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 2       
 H   "Ethyl Amine H2C" % [#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 7       
 C   "Ethyl Amine CH3" % [#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 3       
 H   "Ethyl Amine H3C" % [#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 5        
 C   "Propyl Amine CH3" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 4 
 H   "Propyl Amine H3C" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 7    
 C   "Propyl Amine Me-CH2" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 3 
 H   "Propyl Amine Me-CH2" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 9 
 N   "Ethyl Amine N" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 1    
 H   "Ethyl Amine H2N" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 13     
 C   "Ethyl Amine CH2" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 2     
 H   "Ethyl Amine H2C" % [#7](-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 10
 N   "Dimethyl Amine N"  % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H] % 1     
 H   "Dimethyl Amine HN" % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H] % 10     
 C   "Dimethyl Amine CH3" % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H] % 2     
 H   "Dimethyl Amine H3C" % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[H] % 4    
 N   "Trimethyl Amine N"  % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1    
 C   "Trimethyl Amine CH3" % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 6   
 H   "Trimethyl Amine H3C" % [#7](-[#6](-[H])(-[H])-[H])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 3   
 N   "Pyrrolidine N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 1   
 H   "Pyrrolidine HN" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 14        
 C   "Pyrrolidine C-CH2-C" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 3    
 H   "Pyrrolidine C-CH2-C" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 8   
 C   "Pyrrolidine CH2-N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 5     
 H   "Pyrrolidine H2C-N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H] % 6      
 N   "NMePyrrolidine N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1       
 C   "NMePyrrolidine CH2-N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 5   
 H   "NMePyrrolidine H2C-N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 7 
 C   "NMePyrrolidine CH2<" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 4    
 H   "NMePyrrolidine H2C<" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 9    
 C   "NMePyrrolidine CH3-N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 14 
 H   "NMePyrrolidine H3C-N" % [#7]1(-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 17  
 C   "Formamide C=O" % [#8]=[#6](-[#7](-[H])-[H])-[H] % 2         
 H   "Formamide HCO" % [#8]=[#6](-[#7](-[H])-[H])-[H] % 6         
 O   "Formamide O"   % [#8]=[#6](-[#7](-[H])-[H])-[H] % 1         
 N   "Formamide N"   % [#8]=[#6](-[#7](-[H])-[H])-[H] % 3         
 H   "Formamide H2N" % [#8]=[#6](-[#7](-[H])-[H])-[H] % 4         
 C   "Acetamide C=O" % [#8]=[#6](-[#7](-[H])-[H])-[#6](-[H])(-[H])-[H] % 2         
 O   "Acetamide O" % [#8]=[#6](-[#7](-[H])-[H])-[#6](-[H])(-[H])-[H] % 1           
 N   "Acetamide N" % [#8]=[#6](-[#7](-[H])-[H])-[#6](-[H])(-[H])-[H] % 3           
 H   "Acetamide H2N" % [#8]=[#6](-[#7](-[H])-[H])-[#6](-[H])(-[H])-[H] % 5         
 C   "Acetamide CH3" % [#8]=[#6](-[#7](-[H])-[H])-[#6](-[H])(-[H])-[H] % 6         
 H   "Acetamide H3C" % [#8]=[#6](-[#7](-[H])-[H])-[#6](-[H])(-[H])-[H] % 9         
 C   "NMeFormamide C=O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 2       
 H   "NMeFormamide HCO" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 9       
 O   "NMeFormamide O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 1    
 N   "NMeFormamide N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 3    
 H   "NMeFormamide HN" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 8       
 C   "NMeFormamide CH3" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 4       
 H   "NMeFormamide H3C" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[H] % 6       
 C   "NEtFormamide CH2-N" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 4    
 C   "NEtFormamide CH3-" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 5      
 H   "NEtFormamide H3C" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 6     
 C   "NMeFormamide C=O" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 2  
 H   "NMeFormamide HCO" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 12       
 O   "NMeFormamide O" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 1    
 N   "NMeFormamide N" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 3    
 H   "NMeFormamide HN" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 11     
 H   "NMeFormamide H3C" % [#8]=[#6](-[#7](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[H])-[H] % 10 
 C   "NMeAcetamide C=O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 2   
 O   "NMeAcetamide O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 1        
 N   "NMeAcetamide N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 3        
 H   "NMeAcetamide HN" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 8        
 C   "NMeAcetamide CH3-N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 4   
 H   "NMeAcetamide H3C-N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 5     
 C   "NMeAcetamide CH3-C" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 9   
 H   "NMeAcetamide H3C-C" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 12     
 C   "DiMeFormamide C=O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[H] % 2     
 H   "DiMeFormamide HCO" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[H] % 12   
 O   "DiMeFormamide O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[H] % 1       
 N   "DiMeFormamide N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[H] % 3      
 C   "DiMeFormamide CH3" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[H] % 4     
 H   "DiMeFormamide H3C" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[H] % 9     
 C   "DiMeAcetamide C=O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 2     
 O   "DiMeAcetamide O" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1       
 N   "DiMeAcetamide N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 3   
 C   "DiMeAcetamide CH3-N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 8    
 H   "DiMeAcetamide H3C-N" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 11    
 C   "DiMeAcetamide CH3-C" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 12   
 H   "DiMeAcetamide H3C-C" % [#8]=[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 13 
 O   "Formic Acid OH" % [#8](-[#6](=[#8])-[H])-[H] % 1       
 H   "Formic Acid HO" % [#8](-[#6](=[#8])-[H])-[H] % 5         
 C   "Formic Acid C=O" % [#8](-[#6](=[#8])-[H])-[H] % 2       
 O   "Formic Acid O=C" % [#8](-[#6](=[#8])-[H])-[H] % 3       
 H   "Formic Acid HC=O" % [#8](-[#6](=[#8])-[H])-[H] % 4     
 O   "Acetic Acid OH" % [#8](-[#6](=[#8])-[#6](-[H])(-[H])-[H])-[H] % 1        
 H   "Acetic Acid HO" % [#8](-[#6](=[#8])-[#6](-[H])(-[H])-[H])-[H] % 8        
 C   "Acetic Acid C=O" % [#8](-[#6](=[#8])-[#6](-[H])(-[H])-[H])-[H] % 2       
 O   "Acetic Acid O=C" % [#8](-[#6](=[#8])-[#6](-[H])(-[H])-[H])-[H] % 3       
 C   "Acetic Acid CH3" % [#8](-[#6](=[#8])-[#6](-[H])(-[H])-[H])-[H] % 4     
 H   "Acetic Acid H3C" % [#8](-[#6](=[#8])-[#6](-[H])(-[H])-[H])-[H] % 6       
 C   "Formaldehyde C=O" % [#8]=[#6](-[H])-[H] % 2      
 O   "Formaldehyde O=C" % [#8]=[#6](-[H])-[H] % 1   
 H   "Formaldehyde HC=O" % [#8]=[#6](-[H])-[H] % 3      
 C   "Acetaldehyde C=O" % [#8]=[#6](-[#6](-[H])(-[H])-[H])-[H] % 2      
 O   "Acetaldehyde O=C" % [#8]=[#6](-[#6](-[H])(-[H])-[H])-[H] % 1    
 C   "Acetaldehyde CH3" % [#8]=[#6](-[#6](-[H])(-[H])-[H])-[H] % 3      
 H   "Acetaldehyde H3C" % [#8]=[#6](-[#6](-[H])(-[H])-[H])-[H] % 5      
 H   "Acetaldehyde HC=O" % [#8]=[#6](-[#6](-[H])(-[H])-[H])-[H] % 7     
 S   "Hydrogen Sulfide S" % [#16](-[H])-[H] % 1     
